elev_ft_NAVD88,elev_ft_NGVD29,area_ft2,area_m2,area_km2,area_mi2,area_acre,volume_ft3,volume_m3,volume_km3,volume_mi3,volume_acreft
4206.51,4203.03,52239316388,4853191300,4853.19,1873.83,1199244.89,8.30E+11,23506695288,23.51,5.64,19057236.87
4206.52,4203.04,52259139744,4855032950,4855.03,1874.54,1199699.97,8.31E+11,23521866166,23.52,5.64,19069536.14
4206.53,4203.05,52282149486,4857170625,4857.17,1875.36,1200228.2,8.31E+11,23536319965,23.54,5.65,19081254.05
4206.54,4203.06,52301713162,4858988150,4858.99,1876.07,1200677.32,8.32E+11,23551503218,23.55,5.65,19093563.35
4206.55,4203.07,52319486531,4860639350,4860.64,1876.7,1201085.34,8.32E+11,23565968636,23.57,5.65,19105290.68
4206.56,4203.08,52338797256,4862433375,4862.43,1877.4,1201528.65,8.33E+11,23581162710,23.58,5.66,19117608.75
4206.57,4203.09,52359637801,4864369525,4864.37,1878.14,1202007.08,8.33E+11,23595639090,23.6,5.66,19129344.97
4206.58,4203.1,52378571250,4866128500,4866.13,1878.82,1202441.73,8.34E+11,23610844749,23.61,5.66,19141672.43
4206.59,4203.11,52396061528,4867753400,4867.75,1879.45,1202843.25,8.34E+11,23625331383,23.63,5.67,19153416.97
4206.6,4203.12,52418360852,4869825075,4869.83,1880.25,1203355.17,8.35E+11,23640548152,23.64,5.67,19165753.44
4206.61,4203.13,52435374289,4871405675,4871.41,1880.86,1203745.74,8.35E+11,23655045715,23.66,5.68,19177506.83
4206.62,4203.14,52453708189,4873108950,4873.11,1881.52,1204166.63,8.36E+11,23670273269,23.67,5.68,19189852.04
4206.63,4203.15,52473820555,4874977450,4874.98,1882.24,1204628.34,8.36E+11,23684780825,23.68,5.68,19201613.54
4206.64,4203.16,52491948595,4876661600,4876.66,1882.89,1205044.5,8.37E+11,23700019522,23.7,5.69,19213967.78
4206.65,4203.17,52508643958,4878212650,4878.21,1883.49,1205427.78,8.37E+11,23714537388,23.71,5.69,19225737.64
4206.66,4203.18,52529928515,4880190050,4880.19,1884.25,1205916.4,8.38E+11,23729786180,23.73,5.69,19238100.07
4206.67,4203.19,52546151611,4881697225,4881.7,1884.83,1206288.83,8.39E+11,23744314493,23.74,5.7,19249878.39
4206.68,4203.2,52563718851,4883329275,4883.33,1885.46,1206692.12,8.39E+11,23759574110,23.76,5.7,19262249.6
4206.69,4203.21,52579803094,4884823550,4884.82,1886.04,1207061.36,8.40E+11,23774111738,23.77,5.7,19274035.48
4206.7,4203.22,52601162459,4886807900,4886.81,1886.81,1207551.7,8.40E+11,23789381917,23.79,5.71,19286415.24
4206.71,4203.23,52617270651,4888304400,4888.3,1887.38,1207921.49,8.41E+11,23803929902,23.8,5.71,19298209.52
4206.72,4203.24,52634605929,4889914900,4889.91,1888.01,1208319.45,8.41E+11,23819210141,23.82,5.71,19310597.44
4206.73,4203.25,52656896104,4891985725,4891.99,1888.81,1208831.16,8.42E+11,23833768146,23.83,5.72,19322399.84
4206.74,4203.26,52674106789,4893584650,4893.58,1889.42,1209226.26,8.42E+11,23849059858,23.85,5.72,19334797.06
4206.75,4203.27,52689884260,4895050425,4895.05,1889.99,1209588.46,8.43E+11,23863627965,23.86,5.73,19346607.65
4206.76,4203.28,52708187751,4896750875,4896.75,1890.65,1210008.65,8.43E+11,23878200576,23.88,5.73,19358421.89
4206.77,4203.29,52724640927,4898279425,4898.28,1891.24,1210386.36,8.44E+11,23893507166,23.89,5.73,19370831.17
4206.78,4203.3,52739613257,4899670400,4899.67,1891.77,1210730.08,8.44E+11,23908089205,23.91,5.74,19382653.05
4206.79,4203.31,52755634530,4901158825,4901.16,1892.35,1211097.88,8.45E+11,23923404848,23.92,5.74,19395069.68
4206.8,4203.32,52773126961,4902783925,4902.78,1892.98,1211499.45,8.45E+11,23937996115,23.94,5.74,19406899.04
4206.81,4203.33,52788511011,4904213150,4904.21,1893.53,1211852.61,8.46E+11,23953321402,23.95,5.75,19419323.49
4206.82,4203.34,52802413678,4905504750,4905.5,1894.03,1212171.77,8.46E+11,23967920952,23.97,5.75,19431159.57
4206.83,4203.35,52819911760,4907130375,4907.13,1894.65,1212573.47,8.47E+11,23983255118,23.98,5.75,19443591.21
